unit_price;sum_fact;shop_id;sale_profit;cal_date;customer;title
8,13;8,14;4;4,16;01.01.2019;;Колготки тип 5 - Reebok
59,88;59,89;4;15,98;01.01.2019;;Сапоги тип 2 - Puma
167,58;167,57;1;98,9;01.01.2019;;Кроссовки тип 6 - Nike
125,07;125,07;1;64,36;01.01.2019;;Кроссовки тип 4 - Reebok
24,99;25;1;13,2;01.01.2019;;Рубашка тип 6 - Reebok
255,75;511,5;1;242,29;01.01.2019;;Сапоги тип 4 - Reebok
91,41;182,82;4;42,46;01.01.2019;ФИО 56;Кроссовки тип 3 - Puma
19,5;39;8;18,99;01.01.2019;ФИО 1174;Шапка тип 4 - Adidas
11,66;11,68;8;5,2;01.01.2019;ФИО 1174;Футболка тип 6 - Reebok
15,74;15,75;8;7,67;01.01.2019;ФИО 1174;Футболка тип 3 - Reebok
20,47;20,46;4;8,11;01.01.2019;ФИО 56;Шлёпки тип 2 - Adidas
16,99;17;6;7,46;02.01.2019;;Майка тип 3 - Puma
8,5;8,5;2;3,71;02.01.2019;;Кепка тип 1 - Puma
2,01;2;2;0,9;02.01.2019;;Мячик тип 1 - Adidas
113,78;113,79;3;57,99;02.01.2019;;Туфли тип 2 - Nike
11,81;11,82;3;4,78;02.01.2019;;Кепка тип 3 - Adidas
25,52;25,5;8;12,02;02.01.2019;;Ремень тип 3 - Reebok
7,51;7,5;8;3,58;02.01.2019;;Шапка тип 3 - Adidas
15,03;15,04;8;6,53;02.01.2019;;Майка тип 1 - Puma
13,87;13,86;8;4,98;02.01.2019;;Шапка тип 3 - Puma
10,61;21,21;2;9,22;02.01.2019;;Колготки тип 4 - Puma
13,27;13,29;5;6,7;02.01.2019;ФИО 398;Шлёпки тип 1 - Nike
57,93;57,93;5;26,04;02.01.2019;ФИО 398;Кроссовки тип 4 - Nike
32,56;32,57;6;17,6;02.01.2019;ФИО 1261;Рубашка тип 5 - Nike
63,66;63,64;7;31,77;03.01.2019;;Кроссовки тип 4 - Nike
42,85;42,86;7;10,02;03.01.2019;;Штаны тип 4 - Puma
175,64;175,64;6;85,1;03.01.2019;;Сапоги тип 1 - Reebok
29,4;29,39;2;12,48;03.01.2019;;Рубашка тип 1 - Adidas
16,26;16,25;4;8,26;03.01.2019;;Кепка тип 1 - Nike
39,22;39,21;4;16,75;03.01.2019;;Рубашка тип 12 - Reebok
15,4;15,39;8;7,68;03.01.2019;;Футболка тип 2 - Nike
207,49;414,96;8;155,61;03.01.2019;ФИО 573;Сапоги тип 4 - Puma
4;4;7;2,28;03.01.2019;ФИО 1102;Мячик тип 1 - Nike
19,5;19,5;6;9,75;03.01.2019;ФИО 1074;Рубашка тип 9 - Reebok
24,94;24,93;7;11,09;04.01.2019;;Колготки тип 6 - Adidas
10,62;10,61;7;4,05;04.01.2019;;Футболка тип 4 - Puma
21,01;21;4;12,23;04.01.2019;;Футболка тип 4 - Nike
14,09;14,11;1;5,41;04.01.2019;;Шлёпки тип 3 - Reebok
8,96;8,96;5;3,96;04.01.2019;;Запонка тип 5 - Puma
238,79;238,79;5;117,58;04.01.2019;;Сапоги тип 3 - Reebok
6,63;6,64;5;2,63;04.01.2019;;Шапка тип 5 - Reebok
13,06;26,11;5;11,48;04.01.2019;;Запонка тип 6 - Puma
24,51;49,04;5;26,74;04.01.2019;;Шлёпки тип 1 - Reebok
23,12;23,11;8;9,16;04.01.2019;ФИО 1013;Запонка тип 3 - Reebok
64,89;64,89;8;34,28;04.01.2019;ФИО 1013;Штаны тип 11 - Reebok
15,27;15,29;8;6,09;04.01.2019;ФИО 1013;Колготки тип 2 - Puma
27,9;27,89;8;14,72;04.01.2019;ФИО 1013;Колготки тип 7 - Adidas
93,14;93,14;8;49,82;04.01.2019;ФИО 1013;Сапоги тип 2 - Reebok
74,33;74,32;6;34,79;05.01.2019;;Штаны тип 2 - Adidas
13,2;26,39;2;14,47;05.01.2019;;Рубашка тип 10 - Nike
34,8;34,79;3;18,84;05.01.2019;ФИО 919;Штаны тип 12 - Adidas
87,12;87,11;3;43,12;05.01.2019;ФИО 919;Штаны тип 8 - Reebok
45,6;45,61;3;23,14;05.01.2019;ФИО 919;Рубашка тип 12 - Reebok
27,19;27,18;2;14,83;06.01.2019;;Футболка тип 6 - Nike
102,15;102,14;2;46,33;06.01.2019;;Сапоги тип 5 - Adidas
31,06;62,11;1;34,18;06.01.2019;ФИО 686;Футболка тип 7 - Nike
70,25;70,25;1;32,07;06.01.2019;ФИО 530;Кроссовки тип 6 - Reebok
16,26;16,25;1;8,26;06.01.2019;ФИО 530;Кепка тип 1 - Nike
234,44;234,43;6;106,12;07.01.2019;;Сапоги тип 1 - Adidas
24,96;24,96;4;12,6;07.01.2019;;Шлёпки тип 2 - Adidas
17,22;17,21;4;7,12;07.01.2019;;Штаны тип 7 - Puma
60,78;60,79;4;23,67;07.01.2019;;Штаны тип 10 - Puma
14,74;14,75;4;5,53;07.01.2019;;Штаны тип 3 - Puma
18,4;18,39;5;9,4;07.01.2019;;Колготки тип 1 - Nike
13,6;13,61;5;6,21;07.01.2019;;Запонка тип 2 - Adidas
13,98;14;5;5,02;07.01.2019;;Шапка тип 6 - Puma
12,75;12,75;5;6,18;07.01.2019;;Колготки тип 3 - Reebok
55,89;111,79;4;52,64;07.01.2019;;Штаны тип 1 - Adidas
93,04;186,07;4;71;07.01.2019;;Туфли тип 1 - Nike
31,06;62,11;4;34,18;07.01.2019;ФИО 938;Футболка тип 7 - Nike
226,6;226,61;1;104,78;07.01.2019;ФИО 844;Сапоги тип 4 - Adidas
19,47;19,46;4;5,54;07.01.2019;ФИО 938;Запонка тип 3 - Puma
60,82;60,82;7;29,78;08.01.2019;;Штаны тип 3 - Reebok
38,21;38,21;7;20,6;08.01.2019;;Запонка тип 4 - Adidas
18,92;18,93;7;9,99;08.01.2019;;Майка тип 3 - Nike
84,67;84,68;6;26,53;08.01.2019;;Кроссовки тип 1 - Puma
8,38;8,39;2;3,71;08.01.2019;;Майка тип 4 - Puma
24,7;24,71;4;11,13;08.01.2019;;Колготки тип 6 - Reebok
12,8;12,79;3;6,34;08.01.2019;;Ремень тип 4 - Adidas
